I,607
BY,116
AND,836
WITH,210
ON,97
FROM,71
IN,368
THE,862
KING,67
PRINCE,202
OF,638
TO,446
SIR,53
HOTSPUR,108
OR,67
A,540
LORD,58
AN,83
FALSTAFF,151
FOR,202
ENTER,58
SO,123
AS,222
WE,101
BE,186
NO,78
MORE,53
THIS,173
SHALL,128
LIKE,60
ALL,119
DID,64
HIS,171
ARE,77
WERE,51
OUR,100
BUT,165
IS,208
YOU,272
WILL,120
NOT,224
THEN,54
LET,55
ME,155
MY,330
WHAT,104
WAS,62
WHEN,62
THAT,244
UPON,64
SUCH,63
IT,159
AT,85
THEY,77
HE,204
THOU,240
WOULD,57
HAVE,155
HIM,102
YOUR,130
ART,56
THEE,65
DO,85
THY,111
HOW,57
GOOD,80
ILL,87
AM,68
IF,117
